,,Global Time,Time,Cell1 Cathode vConcentration,Cell1 Anode vConcentration,Cell1 Anode vSEI Length,Cell1 Voltage,Current
C2,37,9859.875363479798,2690.909090909091,38636.929618485905,8647.10320670189,5.1022088545157845e-09,4.020096742648026,13.6319183090575
C2,38,9932.602636207072,2763.636363636364,38428.082074329395,8873.659441876622,5.10768114410163e-09,4.023005109984927,13.6319183090575
C2,39,10005.329908934344,2836.3636363636365,38219.234530172864,9100.214582951243,5.1131889741459495e-09,4.025927847153558,13.6319183090575
C2,40,10078.057181661618,2909.0909090909095,38010.38698601618,9326.76871985902,5.11872934308593e-09,4.028873082175389,13.6319183090575
C2,41,10150.78445438889,2981.818181818182,37801.53944185963,9553.32179571701,5.124303956802082e-09,4.031847955607506,13.6319183090575
C2,42,10223.511727116162,3054.545454545455,37592.691897703095,9779.87398998945,5.129906967370911e-09,4.0348590433383915,13.6319183090575
C2,43,10296.238999843436,3127.2727272727275,37383.84435354636,10006.425330664126,5.135537392422868e-09,4.037911919164181,13.6319183090575
C2,44,10368.966272570708,3200.0000000000005,37174.99680938984,10232.975829816969,5.141194762378662e-09,4.0410116013194814,13.6319183090575
C2,45,10441.693545297981,3272.727272727273,36966.1492652335,10459.525485436363,5.146879066546592e-09,4.044162530980354,13.6319183090575
C2,46,10514.420818025254,3345.454545454546,36757.301721076845,10686.074282911834,5.152590704727417e-09,4.047368635799234,13.6319183090575
C2,47,10587.148090752526,3418.1818181818185,36548.45417692031,10912.622196356966,5.158330444091247e-09,4.050633387205504,13.6319183090575
C2,48,10659.875363479798,3490.909090909091,36339.606632763716,11139.169306918187,5.164095641019702e-09,4.053959891620454,13.6319183090575
C2,49,10732.602636207072,3563.636363636364,36130.75908860729,11365.715335148965,5.169895167606579e-09,4.057350739513638,13.6319183090575
C2,50,10805.329908934344,3636.3636363636365,35921.91154445068,11592.260472700767,5.175722869057792e-09,4.060808565702691,13.6319183090575
C2,51,10878.057181661618,3709.0909090909095,35713.06400029408,11818.804537629847,5.181584509638087e-09,4.064335251028142,13.6319183090575
C2,52,10950.78445438889,3781.818181818182,35504.216456137576,12045.347321964005,5.187486698646077e-09,4.067932517058099,13.6319183090575
C2,53,11023.511727116162,3854.545454545455,35295.368911980986,12271.888886333485,5.193427473725333e-09,4.071602421972901,13.6319183090575
C2,54,11096.238999843436,3927.2727272727275,35086.52136782441,12498.429311427111,5.199404226988937e-09,4.075346660566305,13.6319183090575
