,,Global Time,Time,String 1 Iapp,String 2 Iapp,"Cell 1,1 Cathode vConcentration","Cell 1,1 Anode vConcentration","Cell 1,1 Anode vSEI Length","Cell 1,1 Voltage","Cell 1,1 Capacity by Area","Cell 1,2 Cathode vConcentration","Cell 1,2 Anode vConcentration","Cell 1,2 Anode vSEI Length","Cell 1,2 Voltage","Cell 1,2 Capacity by Area","Cell 2,1 Cathode vConcentration","Cell 2,1 Anode vConcentration","Cell 2,1 Anode vSEI Length","Cell 2,1 Voltage","Cell 2,1 Capacity by Area","Cell 2,2 Cathode vConcentration","Cell 2,2 Anode vConcentration","Cell 2,2 Anode vSEI Length","Cell 2,2 Voltage","Cell 2,2 Capacity by Area"
C2,44,18743.466556977313,3200.0000000000005,-13.63191830905591,-13.631918309059088,37845.28973630785,9526.280070297686,5.444711798158852e-09,3.6112835255015314,12.117260719158352,37845.289736309256,9526.280070290279,5.444711790760061e-09,3.6112835255017517,12.117260719166097,37845.289736305225,9526.280070298386,5.444711792607538e-09,3.6112835255017943,12.117260719158352,37845.28973631129,9526.280070289831,5.4447117944177105e-09,3.611283525501573,12.117260719166097
C2,45,18816.193829704585,3272.727272727273,-13.63191830905598,-13.631918309059023,38054.13728046435,9299.55237452313,5.444711798146053e-09,3.607166535821036,12.39265300823019,38054.13728046567,9299.55237451572,5.444711790748957e-09,3.607166535821259,12.392653008237996,38054.13728046171,9299.552374523908,5.444711792593546e-09,3.6071665358213005,12.39265300823019,38054.137280467745,9299.552374515208,5.444711794425359e-09,3.607166535821076,12.392653008237996
C2,46,18888.921102431857,3345.454545454546,-13.631918309056156,-13.631918309058843,38262.98482462087,9072.824678748626,5.44471179811211e-09,3.603029166742226,12.66804529730203,38262.984824622166,9072.824678741132,5.444711790758914e-09,3.6030291667424494,12.668045297309895,38262.98482461826,9072.82467874945,5.444711792584346e-09,3.6030291667424903,12.66804529730203,38262.98482462428,9072.824678740648,5.444711794446755e-09,3.603029166742267,12.668045297309895
C2,47,18961.648375159133,3418.1818181818185,-13.631918309056418,-13.63191830905858,38471.832368777184,8846.096982974164,5.444711798085804e-09,3.5988622634393876,12.943437586373873,38471.83236877859,8846.09698296654,5.444711790742489e-09,3.598862263439608,12.943437586381787,38471.83236877464,8846.096982974916,5.444711792616213e-09,3.5988622634396474,12.943437586373873,38471.83236878077,8846.096982966123,5.444711794464805e-09,3.598862263439427,12.943437586381787
C2,48,19034.375647886405,3490.909090909091,-13.631918309056763,-13.631918309058236,38680.67991293359,8619.36928719971,5.4447117980664604e-09,3.5946556003657406,13.218829875445723,38680.67991293514,8619.369287191932,5.44471179070526e-09,3.594655600365963,13.218829875453673,38680.67991293101,8619.369287200472,5.444711792626339e-09,3.594655600366002,13.218829875445723,38680.67991293715,8619.369287191468,5.444711794472825e-09,3.59465560036578,13.218829875453673
C2,49,19107.102920613677,3563.636363636364,-13.631918309056891,-13.631918309058108,38889.52745709005,8392.641591425223,5.444711797974327e-09,3.5903974115402706,13.494222164517579,38889.5274570916,8392.641591417418,5.444711790662765e-09,3.59039741154049,13.494222164525556,38889.52745708745,8392.641591425941,5.444711792772183e-09,3.5903974115405224,13.494222164517579,38889.52745709362,8392.641591416967,5.444711794498486e-09,3.5903974115403026,13.494222164525556
C2,50,19179.83019334095,3636.3636363636365,-13.631918309057145,-13.631918309057854,39098.375001246444,8165.913895650666,5.444711798049587e-09,3.586075412496755,13.769614453589437,39098.375001248016,8165.913895642946,5.444711790711725e-09,3.586075412496977,13.769614453597434,39098.37500124399,8165.913895651447,5.444711792731349e-09,3.5860754124970136,13.769614453589437,39098.375001250126,8165.9138956424285,5.444711794541099e-09,3.586075412496791,13.769614453597434
C2,51,19252.55746606822,3709.0909090909095,-13.631918309057538,-13.631918309057463,39307.222545402765,7939.18619987615,5.4447117980833e-09,3.5816753009652675,14.045006742661304,39307.2225454044,7939.186199868385,5.444711790691172e-09,3.5816753009654905,14.045006742669306,39307.22254540038,7939.1861998769045,5.4447117925929046e-09,3.581675300965525,14.045006742661304,39307.222545406534,7939.186199867916,5.444711794555943e-09,3.5816753009653035,14.045006742669306
C2,52,19325.284738795497,3781.818181818182,-13.631918309057406,-13.631918309057596,39516.070089559165,7712.458504101623,5.44471179822748e-09,3.577180828184773,14.32039903173317,39516.07008956086,7712.4585040938955,5.444711790632935e-09,3.577180828185,14.320399031741175,39516.07008955691,7712.458504102326,5.444711792615369e-09,3.577180828185034,14.32039903173317,39516.07008956309,7712.458504093328,5.4447117944771095e-09,3.5771808281848068,14.320399031741175
C2,53,19398.01201152277,3854.545454545455,-13.631918309057973,-13.631918309057028,39724.917633715486,7485.730808327025,5.4447117982431735e-09,3.572574462241649,14.595791320805045,39724.91763371736,7485.7308083194075,5.444711790646792e-09,3.5725744622418727,14.59579132081304,39724.91763371336,7485.730808327821,5.44471179271945e-09,3.5725744622419064,14.595791320805045,39724.91763371951,7485.7308083186845,5.444711794585345e-09,3.5725744622416826,14.59579132081304
C2,54,19470.73928425004,3927.2727272727275,-13.631918309057982,-13.631918309057019,39933.76517787219,7259.00311255252,5.44471179830206e-09,3.5678364499753403,14.871183609876923,39933.765177873785,7259.003112544855,5.4447117905182214e-09,3.567836449975572,14.871183609884898,39933.765177869784,7259.003112553352,5.444711792810135e-09,3.567836449975601,14.871183609876923,39933.765177875975,7259.003112544253,5.444711794693079e-09,3.5678364499753696,14.871183609884898
C2,55,19543.466556977313,4000.0000000000005,-13.63191830905942,-13.631918309055578,40142.61272202851,7032.275416777968,5.444711798249732e-09,3.5629447514075245,15.146575898948816,40142.6127220303,7032.275416770326,5.444711790960522e-09,3.56294475140775,15.146575898956744,40142.61272202625,7032.275416778785,5.444711792432082e-09,3.5629447514077968,15.146575898948816,40142.61272203243,7032.27541676974,5.444711794575427e-09,3.562944751407572,15.146575898956744
C2,56,19616.193829704585,4072.727272727273,-13.631918309059348,-13.631918309055653,40351.46026618501,6805.547721003396,5.444711798398871e-09,3.557874784899401,15.421968188020722,40351.460266186805,6805.547720995852,5.444711791307339e-09,3.5578747848996124,15.421968188028574,40351.46026618287,6805.547721004305,5.444711792919166e-09,3.557874784899659,15.421968188020722,40351.46026618883,6805.547720995254,5.444711794538818e-09,3.557874784899448,15.421968188028574
C2,57,19688.921102431857,4145.454545454546,-13.631918309060142,-13.63191830905486,40560.307810341386,6578.820025228828,5.44471179838005e-09,3.5525992129025092,15.697360477092637,40560.307810343234,6578.820025221362,5.444711791166021e-09,3.5525992129027286,15.697360477100398,40560.30781033935,6578.820025229742,5.444711792634802e-09,3.5525992129027766,15.697360477092637,40560.30781034534,6578.82002522074,5.444711794537908e-09,3.5525992129025568,15.697360477100398
C2,58,19761.648375159133,4218.181818181819,-13.631918309061184,-13.631918309053818,40769.15535449788,6352.092329454253,5.444711798523605e-09,3.547087615959726,15.97275276616457,40769.155354499504,6352.0923294468785,5.4447117914286354e-09,3.5470876159599505,15.972752766172205,40769.155354495895,6352.092329455148,5.444711792511967e-09,3.5470876159600078,15.97275276616457,40769.15535450183,6352.092329446315,5.444711794659394e-09,3.547087615959784,15.972752766172205
C2,59,19834.375647886405,4290.909090909091,-13.63191830906171,-13.63191830905329,40978.00289865436,6125.364633679687,5.4447117984497536e-09,3.5413061669592247,16.248145055236517,40978.002898655825,6125.364633672466,5.444711791390648e-09,3.541306166959452,16.24814505524399,40978.00289865236,6125.364633680576,5.44471179223682e-09,3.5413061669595125,16.248145055236517,40978.00289865834,6125.364633671859,5.444711794454423e-09,3.541306166959285,16.24814505524399
C2,60,19907.102920613677,4363.636363636364,-13.631918309061886,-13.631918309053113,41186.85044281093,5898.636937905114,5.444711798871041e-09,3.5352172768785537,16.523537344308473,41186.850442812036,5898.636937897999,5.444711791256307e-09,3.5352172768787975,16.523537344315773,41186.85044280888,5898.636937905988,5.4447117921294626e-09,3.535217276878865,16.523537344308473,41186.85044281481,5898.636937897448,5.4447117945021756e-09,3.5352172768786208,16.523537344315773
C2,61,19979.83019334095,4436.363636363637,-13.631918309062822,-13.631918309052176,41395.6979869674,5671.909242130523,5.444711798995027e-09,3.5287792253065886,16.79892963338044,41395.69798696849,5671.909242123564,5.4447117914404575e-09,3.5287792253068377,16.798929633387544,41395.697986965555,5671.909242131384,5.444711791715037e-09,3.5287792253069217,16.79892963338044,41395.697986971194,5671.909242123014,5.44471179444602e-09,3.5287792253066725,16.798929633387544
C2,62,20052.557466068225,4509.09090909091,-13.631918309062115,-13.631918309052885,41604.54553112389,5445.181546355917,5.4447117990324295e-09,3.52194568173719,17.07432192245241,41604.54553112502,5445.181546349109,5.4447117909493074e-09,3.5219456817374377,17.074321922459312,41604.54553112197,5445.181546356807,5.44471179211731e-09,3.5219456817375083,17.07432192245241,41604.545531127675,5445.181546348553,5.444711794258207e-09,3.52194568173726,17.074321922459312
C2,63,20125.284738795497,4581.818181818182,-13.631918309061211,-13.631918309053791,41813.393075280444,5218.453850581346,5.444711799430219e-09,3.514665376777412,17.349714211524358,41813.39307528141,5218.45385057466,5.444711790583981e-09,3.5146653767776663,17.349714211531094,41813.39307527867,5218.4538505822175,5.44471179223124e-09,3.514665376777743,17.349714211524358,41813.39307528394,5218.453850574105,5.444711793942691e-09,3.5146653767774882,17.349714211531094
C2,64,20198.01201152277,4654.545454545455,-13.631918309063147,-13.631918309051851,42022.240619437114,4991.726154806772,5.444711798879827e-09,3.5068815498020323,17.62510650059632,42022.24061943789,4991.726154800219,5.444711790289242e-09,3.5068815498022956,17.625106500602868,42022.24061943509,4991.72615480763,5.444711791928806e-09,3.5068815498023582,17.62510650059632,42022.2406194402,4991.726154799653,5.444711794206068e-09,3.5068815498020958,17.625106500602868
C2,65,20270.73928425004,4727.272727272728,-13.63191830906177,-13.631918309053228,42231.088163593675,4764.998459032182,5.444711799026562e-09,3.498531479498047,17.90049878966829,42231.088163594206,4764.998459025788,5.444711789663482e-09,3.498531479498311,17.90049878967464,42231.08816359162,4764.998459033019,5.44471179227568e-09,3.498531479498366,17.90049878966829,42231.088163596694,4764.998459025203,5.4447117936544924e-09,3.498531479498101,17.90049878967464
