,,Global Time,Time,String 1 Iapp,String 2 Iapp,String 3 Iapp,String 4 Iapp,"Cell 1,1 Anode vSEI Length","Cell 1,1 Voltage","Cell 1,2 Anode vSEI Length","Cell 1,2 Voltage","Cell 1,3 Anode vSEI Length","Cell 1,3 Voltage","Cell 1,4 Anode vSEI Length","Cell 1,4 Voltage"
C1,81,5890.909090909091,5890.909090909091,-13.647556546258782,-13.214092577877663,-13.333768818175852,-14.3322552939177,5.000000001507484e-09,3.472160287436498,4.999999998524222e-09,3.4721602874364974,5.000000001749788e-09,3.4721602874364974,5.00000000061891e-09,3.4721602874364983
C1,82,5963.636363636364,5963.636363636364,-13.641948654831886,-13.192865249165205,-13.313647530128879,-14.379211802104027,5.000000001341356e-09,3.461080371709777,4.9999999990519444e-09,3.461080371709777,5.000000002152287e-09,3.461080371709777,5.00000000078631e-09,3.4610803717097776
C1,83,6036.363636363637,6036.363636363637,-13.636506318660134,-13.173208613969512,-13.294987303012372,-14.422971000587985,5.000000001246757e-09,3.4490464771410654,4.999999998701092e-09,3.4490464771410645,5.000000002114931e-09,3.4490464771410645,5.000000001312675e-09,3.4490464771410645
C1,84,6109.09090909091,6109.09090909091,-13.631426507936725,-13.15579536146748,-13.278428065456351,-14.462023301369443,5.000000000890187e-09,3.435951916869787,4.999999998661997e-09,3.4359519168697865,5.000000001639917e-09,3.435951916869787,5.000000001587271e-09,3.4359519168697856
C1,85,6181.818181818182,6181.818181818182,-13.626928620244305,-13.141313739775757,-13.264626466150117,-14.494804410059823,5.0000000007682904e-09,3.4216805592115236,4.999999998634868e-09,3.421680559211523,5.000000001338755e-09,3.421680559211523,5.0000000021770915e-09,3.4216805592115236
C1,86,6254.545454545455,6254.545454545455,-13.623242106119482,-13.130425142023226,-13.254215517513527,-14.519790470573767,5.000000000883673e-09,3.406106093566314,4.999999998732362e-09,3.4061060935663137,5.000000001895057e-09,3.406106093566314,5.000000002368728e-09,3.4061060935663146
C1,87,6327.272727272728,6327.272727272728,-13.620581598486295,-13.123685960758758,-13.247730052943812,-14.535675624041136,5.000000001190841e-09,3.3890923479698705,4.9999999981798e-09,3.38909234796987,5.000000001905117e-09,3.38909234796987,5.000000002475614e-09,3.38909234796987
C1,88,6400.000000000001,6400.000000000001,-13.619125597174529,-13.121482434712396,-13.245544548148521,-14.54152065619455,5.000000001175858e-09,3.370490872350079,4.99999999840353e-09,3.3704908723500786,5.000000001938756e-09,3.3704908723500786,5.00000000270227e-09,3.3704908723500786
C1,89,6472.727272727273,6472.727272727273,-13.618982685140654,-13.123911807543914,-13.247760283416698,-14.537018460128731,5.000000001403713e-09,3.350138342501945,4.999999998515812e-09,3.3501383425019453,5.000000002020817e-09,3.3501383425019453,5.000000002660052e-09,3.3501383425019453
C1,90,6545.454545454546,6545.454545454546,-13.620151784058983,-13.130613203125595,-13.25404570989002,-14.522862539155401,5.000000001445023e-09,3.3278485275729563,4.999999998535251e-09,3.3278485275729563,5.000000002280714e-09,3.3278485275729563,5.00000000263708e-09,3.327848527572956
C1,91,6618.181818181819,6618.181818181819,-13.622466721424969,-13.140467100972282,-13.263354462542855,-14.501384951289888,5.0000000015263e-09,3.3033908906058036,4.999999998445523e-09,3.3033908906058036,5.000000002335872e-09,3.3033908906058036,5.000000002880998e-09,3.3033908906058036
C1,92,6690.909090909092,6690.909090909092,-13.625475043152063,-13.150891502751872,-13.27326576314471,-14.478040927181354,5.0000000017216235e-09,3.2764388306761734,4.999999998235956e-09,3.2764388306761725,5.000000002096101e-09,3.276438830676173,5.000000002900964e-09,3.276438830676174
C1,93,6763.636363636364,6763.636363636364,-13.628222142406537,-13.156426823818778,-13.278661217530058,-14.464363052474626,5.000000001783745e-09,3.2464247739551837,4.999999998371648e-09,3.246424773955184,5.000000002125814e-09,3.2464247739551837,5.000000003478186e-09,3.2464247739551833
C1,94,6836.363636363637,6836.363636363637,-13.628373288683333,-13.144243272679713,-13.267500598166551,-14.4875560767004,5.000000001751162e-09,3.2121307467067703,4.999999998099782e-09,3.2121307467067703,5.000000002626033e-09,3.2121307467067703,5.000000003598482e-09,3.2121307467067703
C1,95,6909.09090909091,6909.09090909091,-13.619220518859613,-13.082781187731241,-13.210046316073798,-14.615625213565348,5.000000002120679e-09,3.170385267109903,4.999999998338496e-09,3.1703852671099035,5.000000003827412e-09,3.1703852671099035,5.000000003048154e-09,3.170385267109903
C1,96,6981.818181818182,6981.818181818182,-13.578342963469533,-12.902471928542376,-13.0398528644102,-15.007005479807896,5.000000001920167e-09,3.1112418808719364,4.999999998454169e-09,3.1112418808719364,5.0000000030055096e-09,3.1112418808719364,5.000000002801414e-09,3.1112418808719364
