,,Time,Cell1 Cathode vConcentration,Cell1 Cathode vPhi,Cell1 Anode vConcentration,Cell1 Anode vPhi,Cell1 Anode vSEI Length
C27,1,72.72727272727273,34085.91708318248,3.9125984905388616,13618.423997468046,0.2243845630491854,5.3082417295805565e-09
C27,2,145.45454545454547,34295.72403776879,3.9086422819473112,13391.687461495547,0.22502717380612977,5.3082417295805565e-09
C27,3,218.1818181818182,34504.574859788365,3.9047512891232383,13164.959869623755,0.22566917030293931,5.3082417295805565e-09
C27,4,290.90909090909093,34713.42263501763,3.9009066494720535,12938.23217516204,0.22631136564931462,5.3082417295805565e-09
C27,5,363.6363636363637,34922.27019541971,3.897107752205773,12711.504479403979,0.22695467955097165,5.3082417295805565e-09
C27,6,436.3636363636364,35131.11774071507,3.8933540473339168,12484.7767836296,0.22760018088167333,5.3082417295805565e-09
C27,7,509.0909090909091,35339.96528495129,3.889644994202196,12258.049087855023,0.22824910540650606,5.3082417295805565e-09
C27,8,581.8181818181819,35548.81282911329,3.885980053822269,12031.321392080523,0.22890287597900885,5.3082417295805565e-09
C27,9,654.5454545454546,35757.66037327014,3.882358498640892,11804.59369630593,0.22956309182445006,5.3082417295805565e-09
C27,10,727.2727272727274,35966.50791742653,3.8787801905213795,11577.866000531461,0.23023168724030452,5.3082417295805565e-09
C27,11,800.0000000000001,36175.35546158296,3.875244341747317,11351.138304756942,0.2309107625062332,5.3082417295805565e-09
C27,12,872.7272727272727,36384.20300573948,3.8717503776523823,11124.410608982429,0.23160274418905658,5.3082417295805565e-09
C27,13,945.4545454545455,36593.050549895925,3.8682977057987804,10897.682913207864,0.23231038954200514,5.3082417295805565e-09
C27,14,1018.1818181818182,36801.898094052456,3.8648857125712,10670.955217433417,0.2330368262080652,5.3082417295805565e-09
C27,15,1090.909090909091,37010.7456382089,3.861513759834835,10444.227521658846,0.23378559658161208,5.3082417295805565e-09
C27,16,1163.6363636363637,37219.593182365425,3.858181181626589,10217.499825884288,0.23456070734997522,5.3082417295805565e-09
C27,17,1236.3636363636365,37428.440726521796,3.8548872808514,9990.772130109714,0.23536668479099393,5.3082417295805565e-09
C27,18,1309.0909090909092,37637.28827067839,3.8516313259530497,9764.044434335183,0.2362086364628024,5.3082417295805565e-09
C27,19,1381.818181818182,37846.13581483479,3.848412547530273,9537.316738560652,0.23709231998654018,5.3082417295805565e-09
C27,20,1454.5454545454547,38054.98335899125,3.8452301348674016,9310.589042786209,0.23802421969265875,5.3082417295805565e-09
C27,21,1527.2727272727275,38263.83090314785,3.842083232347961,9083.861347011727,0.23901163197647934,5.3082417295805565e-09
C27,22,1600.0000000000002,38472.678447304235,3.83897093571768,8857.133651237058,0.24006276028853685,5.3082417295805565e-09
C27,23,1672.727272727273,38681.52599146077,3.835892288161493,8630.405955462526,0.24118682076961928,5.3082417295805565e-09
C27,24,1745.4545454545455,38890.37353561734,3.83284649636151,8403.678259688088,0.24239478051026858,5.3082417295805565e-09
C27,25,1818.1818181818182,39099.221079773895,3.829832043630892,8176.950563913515,0.24369710257851054,5.3082417295805565e-09
C27,26,1890.909090909091,39308.06862393041,3.8268481089169835,7950.222868138995,0.24510773173961503,5.3082417295805565e-09
C27,27,1963.6363636363637,39516.916168087075,3.8238933801291535,7723.495172364395,0.2466409829568237,5.3082417295805565e-09
C27,28,2036.3636363636365,39725.76371224364,3.8209665657391882,7496.767476589849,0.2483131956095998,5.3082417295805565e-09
C27,29,2109.0909090909095,39934.61125640008,3.818066292807962,7270.039780815344,0.2501426521624678,5.3082417295805565e-09
C27,30,2181.818181818182,40143.45880055656,3.8151911068586593,7043.312085040879,0.252149850003553,5.3082417295805565e-09
C27,31,2254.545454545455,40352.30634471294,3.8123394518205336,6816.584389266373,0.2543576742259772,5.3082417295805565e-09
C27,32,2327.2727272727275,40561.15388886943,3.809509664751261,6589.85669349187,0.256791662765927,5.3082417295805565e-09
C27,33,2400.0,40770.00143302581,3.8066999693984034,6363.128997717382,0.25948030769588404,5.3082417295805565e-09
C27,34,2472.727272727273,40978.84897718235,3.8039084664823033,6136.401301942862,0.2624553697503832,5.3082417295805565e-09
C27,35,2545.4545454545455,41187.69652133877,3.8011331228945737,5909.673606168366,0.26575222042205393,5.3082417295805565e-09
C27,36,2618.1818181818185,41396.54406549528,3.7983717602062215,5682.945910393842,0.2694102016348451,5.3082417295805565e-09
C27,37,2690.909090909091,41605.39160965173,3.795622038621963,5456.218214619353,0.2734730739361235,5.3082417295805565e-09
C27,38,2763.636363636364,41814.23915380816,3.792881446496687,5229.49051884484,0.2779893536321834,5.3082417295805565e-09
C27,39,2836.3636363636365,42023.086697964536,3.7901472798327585,5002.762823070285,0.28301283028925717,5.3082417295805565e-09
C27,40,2909.0909090909095,42231.934242120995,3.787416624100981,4776.035127295795,0.28860302031080426,5.3082417295805565e-09
C27,41,2981.818181818182,42440.78178627751,3.784686329692552,4549.30743152125,0.29482571585947004,5.3082417295805565e-09
C27,42,3054.545454545455,42649.62933043399,3.7819529956970155,4322.579735746694,0.30175330027743075,5.3082417295805565e-09
C27,43,3127.2727272727275,42858.476874590335,3.7792129323249073,4095.852039972188,0.3094654393249764,5.3082417295805565e-09
C27,44,3200.0000000000005,43067.324418746764,3.7764621343692015,3869.1243441976726,0.3180494353113338,5.3082417295805565e-09
C27,45,3272.727272727273,43276.171962903274,3.7736962423522176,3642.3966484231673,0.3276007110087766,5.3082417295805565e-09
C27,46,3345.454545454546,43485.01950705963,3.7709105048579747,3415.6689526486502,0.33822310868032407,5.3082417295805565e-09
C27,47,3418.1818181818185,43693.86705121601,3.7680997171661583,3188.9412568741386,0.35002953597876985,5.3082417295805565e-09
C27,48,3490.909090909091,43902.71459537233,3.7652581885814267,2962.213561099616,0.3631418832882267,5.3082417295805565e-09
C27,49,3563.636363636364,44111.56213952881,3.762379654399554,2735.4858653251067,0.37769222413410736,5.3082417295805565e-09
C27,50,3636.3636363636365,44320.40968368517,3.759457211714619,2508.758169550604,0.39382417486191795,5.3082417295805565e-09
C27,51,3709.0909090909095,44529.25722784166,3.756483228351375,2282.030473776098,0.41169699832460793,5.3082417295805565e-09
C27,52,3781.818181818182,44738.10477199812,3.7534492423132915,2055.302778001576,0.431495860505846,5.3082417295805565e-09
C27,53,3854.545454545455,44946.95231615456,3.7503458200557414,1828.5750822270684,0.4534588300878278,5.3082417295805565e-09
C27,54,3927.2727272727275,45155.799860310995,3.7471624497264777,1601.8473864525592,0.4779451160837999,5.3082417295805565e-09
C27,55,4000.0000000000005,45364.647404467454,3.7438873178970296,1375.1196906780524,0.5056257768465914,5.3082417295805565e-09
C27,56,4072.727272727273,45573.4949486239,3.740507142216392,1148.391994903541,0.5380381936038905,5.3082417295805565e-09
C27,57,4145.454545454546,45782.34249278035,3.737006893916946,921.6642991290277,0.5794257409884438,5.3082417295805565e-09
C27,58,4218.181818181819,45991.190036936765,3.7333695003922895,694.9366033545191,0.6440494834902821,5.3082417295805565e-09
C27,59,4290.909090909091,46200.037581093224,3.7295754705853223,468.20890758001093,0.7957799501351961,5.3082417295805565e-09
C27,60,4363.636363636364,46408.88512508992,3.725602434117854,241.481211805215,1.5497949259843267,5.3082417295805565e-09
C27,61,4369.498240117961,46425.7184045665,3.725273655403304,223.20677777588656,1.725263655403308,5.3082417295805565e-09
C28,0,0.0,46425.7184045665,3.9807309518328062,223.20677777588656,1.314227406669607,5.3082417295805565e-09
C28,1,72.72727272727273,46147.50176067723,3.9836874992564675,488.10065572089434,0.43168138481340707,5.3082417761654975e-09
C28,2,145.45454545454547,45937.709827889026,3.9857539486988034,714.8419391617492,0.317482786314918,5.308242846046071e-09
C28,3,218.1818181818182,45728.83867112135,3.9877324702913435,941.5695000810687,0.27077384711924396,5.308246632076689e-09
C28,4,290.90909090909093,45519.99047185616,3.98964593624484,1168.2969380034663,0.24143923117165889,5.3082541725608775e-09
C28,5,363.6363636363637,45311.142909733855,3.9915064862410854,1395.0242171967966,0.21834255679078984,5.308266573242214e-09
C28,6,436.3636363636364,45102.2953652147,3.9933245475978296,1621.7512855938164,0.19834419993729302,5.308285422905122e-09
C28,7,509.0909090909091,44893.447821049245,3.9951092742906584,1848.4780779133532,0.1804214944804844,5.308312738181795e-09
C28,8,581.8181818181819,44684.60027689243,3.9968687415621105,2075.2045283384577,0.16419182343130523,5.308350567998166e-09
C28,9,654.5454545454546,44475.75273273589,3.9986101020289615,2301.9305503978594,0.14947705618783091,5.308401638343385e-09
C28,10,727.2727272727274,44266.9051885793,4.0003397242399945,2528.65605812949,0.13616331640364365,5.30846868288699e-09
C28,11,800.0000000000001,44058.057644422646,4.002063285283164,2755.3809665947506,0.12415506177732709,5.3085544271314596e-09
C28,12,872.7272727272727,43849.210100266115,4.003785875847285,2982.1051964680173,0.11336053786789066,5.308661441368873e-09
C28,13,945.4545454545455,43640.36255610954,4.005512072464699,3208.828678201873,0.10368855973812957,5.308792004472413e-09
C28,14,1018.1818181818182,43431.51501195293,4.007246002119588,3435.5513562855044,0.09504881846647122,5.308947962843627e-09
C28,15,1090.909090909091,43222.66746779646,4.008991398042438,3662.27319008628,0.08735309846575916,5.309130697563331e-09
C28,16,1163.6363636363637,43013.81992363979,4.010751644306229,3888.9941549776286,0.08051656561638586,5.309341082521837e-09
C28,17,1236.3636363636365,42804.97237948329,4.012529829021256,4115.714240833396,0.07445836985960705,5.309579526821023e-09
C28,18,1309.0909090909092,42596.124835326686,4.014328755169166,4342.433454182547,0.06910288379620608,5.3098459011610826e-09
C28,19,1381.818181818182,42387.27729117004,4.016150991790885,4569.1518149612075,0.06437948675072928,5.310139638433816e-09
C28,20,1454.5454545454547,42178.42974701362,4.017998893855333,4795.869354207858,0.06022283406362322,5.310459805227452e-09
C28,21,1527.2727272727275,41969.58220285712,4.019874620637414,5022.5861124023695,0.05657292923347826,5.3108051539855046e-09
C28,22,1600.0000000000002,41760.73465870041,4.021780160396091,5249.3021367417105,0.05337483056539537,5.311174210076753e-09
C28,23,1672.727272727273,41551.887114543904,4.023717345066228,5476.017479620753,0.05057848884481236,5.311565320974175e-09
C28,24,1745.4545454545455,41343.03957038749,4.025687867262374,5702.732195617938,0.04813841816220799,5.311976754007637e-09
C28,25,1818.1818181818182,41134.19202623099,4.027693290731974,5929.446339666709,0.04601347134493756,5.31240675630629e-09
