Time,"Cell 1,1 Pos Particle vConcentration","Cell 1,1 Neg Particle vConcentration","Cell 1,2 Pos Particle vConcentration","Cell 1,2 Neg Particle vConcentration","Cell 2,1 Pos Particle vConcentration","Cell 2,1 Neg Particle vConcentration","Cell 2,2 Pos Particle vConcentration","Cell 2,2 Neg Particle vConcentration",String 1 Iapp,String 1 Voltage,"Cell 1,1 Voltage","Cell 2,1 Voltage",String 2 Iapp,String 2 Voltage,"Cell 1,2 Voltage","Cell 2,2 Voltage"
11277.10843373494,33499.10321464986,17625.261766039745,33619.501328936734,17571.717606042952,33593.344029596046,17525.827381539948,33413.15877091953,17658.253857336793,-1.2206041420233706,7.573854385518196,3.787818716843882,3.786035668674314,-1.1849277163099625,7.573854385518196,3.784933795887959,3.788920589630237
11566.265060240965,33568.92570036889,17565.736136675805,33692.722846798475,17510.538391601312,33665.54220471974,17463.795026466723,33481.19868601951,17599.226545335096,-1.220686995254999,7.571421245258369,3.7866104982276614,3.7848107470307073,-1.1848448630783341,7.571421245258369,3.7836986452007593,3.7877226000576094
11855.421686746988,33638.75315453604,17506.206271569543,33765.93897936459,17449.36367676798,33737.74551737884,17401.758257245223,33549.23359975306,17540.203572216116,-1.2207730696839825,7.56902870448573,3.78542193937439,3.7836067651113394,-1.1847587886493507,7.56902870448573,3.7824851968118174,3.7865435076739127
12144.578313253012,33708.585394003996,17446.672326860422,33839.14994771891,17388.19327681946,33809.95377814259,17339.71723663395,33617.2637138021,17481.184763012978,-1.220857166536342,7.566666882120859,3.784248264725032,3.7824186173958267,-1.1846746917969913,7.566666882120858,3.781288149730474,3.7853787323903845
12433.734939759037,33778.42266973191,17387.13408859819,33912.35545715746,17327.02743799182,33882.1672465613,17277.67174162842,33685.28875813604,17422.17035198783,-1.220944506312232,7.564345322448725,3.7830941113604357,3.781251211088289,-1.1845873520211012,7.564345322448725,3.7801125765562666,3.7842327458924583
12722.891566265062,33848.264814152106,17327.591699639088,33985.55571170873,17265.86598981169,33954.38574931494,17215.621921144462,33753.30891862373,17363.16017789197,-1.221029947665632,7.562054270089545,3.7819547585301314,3.780099511559414,-1.184501910667701,7.562054270089545,3.778953255393274,3.7831010146962716
13012.048192771084,33918.11206743158,17268.04495523382,34058.75042857902,17204.709168563353,34026.609534793424,17153.567561766347,33821.32393626268,17304.1544654205,-1.2211186491480108,7.559803029853521,3.7808347328337772,3.7789682970197433,-1.1844132091853223,7.559803029853521,3.7778151201921952,3.781987909661326
13301.204819277109,33987.9642783349,17208.49398431563,34131.939793972604,17143.556818666613,34098.83844656476,17091.508797899565,33889.33398038672,17245.153067669526,-1.2212055207441497,7.557582004035618,3.7797293840183244,3.7778526200172937,-1.1843263375891835,7.557582004035617,3.776693044849917,3.7808889591857002
13590.361445783134,34057.82167399027,17148.93859325043,34205.123539463486,17082.409164400822,34171.07271953687,17029.445427713137,33957.338805298896,17186.15619779088,-1.221295657395829,7.555400240102349,3.778643119245697,3.776757120856652,-1.1842362009375043,7.555400240102349,3.775591815809519,3.7798084242928303
13879.518072289156,34127.6841201856,17089.37889645814,34278.30183270281,17021.26606568742,34243.312214881145,16967.377570487668,34025.338563117955,17127.16372381538,-1.2213840178577517,7.553248325248033,3.7775713721869093,3.7756769530611236,-1.1841478404755814,7.553248325248032,3.7745064168255262,3.778741908422506
14168.674698795181,34197.55182824543,17029.8147137785,34351.47442265691,16960.127732274224,34315.55715116206,16905.305038433038,34093.333024256564,17068.17584491928,-1.221475629567769,7.551135035115525,3.776518423257519,3.7746166118580056,-1.1840562287655643,7.551135035115525,3.7734414798047813,3.7776935553107434
14457.831325301206,34267.42468163246,16970.24614456305,34424.64145772554,16898.994040167647,34387.80740782754,16843.22793512737,34161.322322968816,17009.192444631877,-1.22156550048162,7.549051164701208,3.7754798014131614,3.7735713632880468,-1.1839663578517132,7.5490511647012095,3.7723921100436852,3.776659054657524
14746.98795180723,34337.302872593755,16910.673024915697,34497.80270785099,16837.865181589626,34460.06318371516,16781.146089730486,34229.30624909974,16950.21370527094,-1.2216585836641214,7.547005206330265,3.774459654479659,3.7725455518506057,-1.1838732746692118,7.547005206330265,3.7713627794815894,3.775642426848676
15036.144578313253,34407.186302834394,16851.095438635326,34570.95830155938,16776.741049151653,34532.324377136225,16719.05958961206,34297.28491846068,16891.239526365305,-1.2217499395289044,7.544988181794732,3.7734536161812473,3.7715345656134853,-1.1837819188044287,7.544988181794732,3.770348724501699,3.7746394572930333
15325.301204819278,34477.07514171149,16791.513241340814,34644.10803395541,16715.621814051243,34604.591163258214,16656.968284269573,34365.258144208216,16832.270070009177,-1.2218444361130132,7.543008291200228,3.7724656971987085,3.7705425940015194,-1.18368742222032,7.543008291200228,3.7693542530151065,3.7736540381851214
15614.457831325302,34546.9693095706,16731.926500939597,34717.25201324192,16654.507385880763,34676.86345966817,16594.872244512262,34433.226023297226,16773.305252090464,-1.2219371924628852,7.541056798613782,3.7714916438139623,3.76956515479982,-1.183594665870448,7.541056798613782,3.768374740126678,3.7726820584871046
15903.614457831327,34616.86894845159,16672.33509633836,34790.390064559455,16593.397910741995,34749.14141328591,16532.77134410657,34501.18839670828,16714.34521056459,-1.2220329761315216,7.539141605221956,3.7705353261223014,3.7686062790996546,-1.1834988822018115,7.539141605221956,3.76741432680462,3.771727278417336
16192.77108433735,34686.77399742442,16612.73907948219,34863.52227566775,16532.293315308314,34821.42496105968,16470.665637226495,34569.14534243261,16655.38987777128,-1.2221269742478473,7.537254229708674,3.7695926092310375,3.767661620477637,-1.1834048840854858,7.537254229708674,3.7664685328176093,3.770785696891065
16481.927710843374,34756.684566062664,16553.13835695603,34936.64850742936,16471.193715834073,34893.71421633777,16408.55502648405,34637.09673453979,16596.439362960118,-1.2222238322472654,7.535402269451532,3.7686672201527145,3.766735049298817,-1.1833080260860678,7.535402269451533,3.76554133019613,3.7698609392554023
16771.0843373494,34826.600611718684,16493.532965118524,35009.768827598426,16410.09905570832,34966.00913497403,16346.439549809513,34705.04263246933,16537.493614564763,-1.2223188186814065,7.533577507315036,3.7677551477317546,3.765822359583282,-1.1832130396519267,7.533577507315037,3.764628387828302,3.768949119486735
17060.240963855424,34896.52220547146,16433.922843373,35082.883139438316,16349.009415757764,35038.309790508494,16284.319144016987,34772.98294955832,16478.55270776898,-1.2224164271954254,7.5317872333826354,3.7668599741708473,3.7649272592117886,-1.1831154311379077,7.5317872333826354,3.7637335074976215,3.7680537258850144
17349.39759036145,34966.4493216866,16374.30801357316,35155.99149201704,16287.924754984444,35110.61615638784,16222.193831920586,34840.91772792872,16419.61660602998,-1.2225120259293396,7.530023501828236,3.7659778157649133,3.764045686063322,-1.1830198324039936,7.530023501828236,3.7628525103770656,3.76717099145117
17638.55421686747,35036.38198583238,16314.688454006473,35229.093838906316,16226.845112180872,35182.9282589897,16160.063590857686,34908.84692749664,16360.685344122521,-1.222609916458349,7.528293292931464,3.76511210877148,3.763181184159983,-1.1829219418749841,7.528293292931463,3.761989027129726,3.766304265801737
17927.710843373494,35106.320186764555,16255.064174174051,35302.19021315292,16165.77045973522,35255.24608674439,16097.92843076895,34976.77057555287,16301.758898370714,-1.2227055908266027,7.526588937199447,3.764259099601821,3.762329837597626,-1.1828262675067305,7.526588937199447,3.7611390332767236,3.7654499039227236
