Cycle,Protocol,Stamps,Time,Global Time,Pack Voltage,Pack Current,String 1 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage","Cell 2,1 Cathode Concentration","Cell 2,1 Anode Concentration","Cell 2,1 Anode SEI Length","Cell 2,1 Voltage"
9,CC-discharge,22,1600.0000000000002,80874.54535027665,6.917154784735372,-27.263836618115,-27.263836618115,41801.66058924872,5716.163272847168,5.247840607767996e-09,3.4534795313059368,41320.29465496407,5833.948657605863,5.249169634096883e-09,3.4636752534294355
9,CC-discharge,23,1672.727272727273,80947.27262300393,6.889905534542731,-27.263836618115,-27.263836618115,42226.529667636874,5268.015925701905,5.247840607934732e-09,3.4395334382839926,41732.40066225505,5388.9282821997695,5.2491696347818494e-09,3.4503720962587376
9,CC-discharge,24,1745.4545454545455,81019.99989573119,6.858920875400976,-27.263836618115,-27.263836618115,42651.398746024344,4819.868578556583,5.2478406081519e-09,3.4236364949592564,42144.50666954597,4943.907906793562,5.249169634431986e-09,3.4352843804417192
9,CC-discharge,25,1818.1818181818182,81092.72716845847,6.823230584971181,-27.263836618115,-27.263836618115,43076.267824412134,4371.721231411256,5.247840608071813e-09,3.405282727887227,42556.612676836725,4498.887531387383,5.249169634948238e-09,3.4179478570839548
9,CC-discharge,26,1890.909090909091,81165.45444118574,6.781660372942024,-27.263836618115,-27.263836618115,43501.13690279932,3923.5738842659107,5.2478406075056794e-09,3.3838599007744294,42968.71868412738,4053.867155981218,5.249169635372782e-09,3.397800472167595
9,CC-discharge,27,1963.6363636363637,81238.18171391301,6.732799707934567,-27.263836618115,-27.263836618115,43926.0059811872,3475.4265371206166,5.2478406077192095e-09,3.358632989685714,43380.82469141846,3608.8467805750656,5.249169635732198e-09,3.374166718248853
9,CC-discharge,28,2036.3636363636365,81310.90898664028,6.674976278207453,-27.263836618115,-27.263836618115,44350.875059574944,3027.279189975286,5.247840608085137e-09,3.3287311361348717,43792.930698708784,3163.8264051688516,5.249169635963062e-09,3.346245142072581
9,CC-discharge,29,2109.0909090909095,81383.63625936756,6.606223587193887,-27.263836618115,-27.263836618115,44775.744137962734,2579.131842829909,5.24784060793799e-09,3.293130085762226,44205.03670599962,2718.8060297626066,5.249169636074971e-09,3.3130935014316614
9,CC-discharge,30,2181.818181818182,81456.36353209482,6.52421066196735,-27.263836618115,-27.263836618115,45200.613216350685,2130.98449568456,5.2478406077134374e-09,3.250608098175315,44617.14271329075,2273.7856543563507,5.2491696359689975e-09,3.2736025637920347
9,CC-discharge,31,2254.545454545455,81529.0908048221,6.425853122657357,-27.263836618115,-27.263836618115,45625.48229473786,1682.8371485392136,5.2478406091177056e-09,3.199493438301597,45029.24872058186,1828.765278950128,5.2491696364632876e-09,3.22635968435576
