,,,Global Time,Time,Pack Voltage,String 1 Iapp,String 2 Iapp,"Cell 1,1 Cathode vConcentration","Cell 1,1 Anode vConcentration","Cell 1,1 Anode vSEI Length","Cell 1,1 Voltage","Cell 1,1 Capacity by Area","Cell 1,2 Cathode vConcentration","Cell 1,2 Anode vConcentration","Cell 1,2 Anode vSEI Length","Cell 1,2 Voltage","Cell 1,2 Capacity by Area","Cell 2,1 Cathode vConcentration","Cell 2,1 Anode vConcentration","Cell 2,1 Anode vSEI Length","Cell 2,1 Voltage","Cell 2,1 Capacity by Area","Cell 2,2 Cathode vConcentration","Cell 2,2 Anode vConcentration","Cell 2,2 Anode vSEI Length","Cell 2,2 Voltage","Cell 2,2 Capacity by Area"
2,CV-charge,14,29913.36464055794,1018.1818181818182,8.2,8.00946182314657,8.009461823153025,31541.20409342091,16324.64727228801,5.083201138341284e-09,4.0999999999999,-0.0,31541.204093426884,16324.647272283648,5.083201140480597e-09,4.099999999999885,-0.0,31541.204093419426,16324.647272288867,5.083201145239022e-09,4.100000000000098,-0.0,31541.204093427652,16324.647272282347,5.083201151042979e-09,4.100000000000114,-0.0
2,CV-charge,15,29986.09191328521,1090.909090909091,8.2,7.753701788966646,7.753701788973367,31421.79677943029,16454.98910455614,5.083638850031099e-09,4.0999999999999055,-0.0,31421.796779436343,16454.98910455193,5.083638852171035e-09,4.0999999999998895,-0.0,31421.79677942888,16454.989104556986,5.083638856929067e-09,4.100000000000093,-0.0,31421.796779437114,16454.989104550783,5.083638862730665e-09,4.100000000000109,-0.0
2,CV-charge,16,30058.819186012483,1163.6363636363637,8.200000000000003,7.509837931257244,7.5098379312640064,31306.15361507025,16581.210896584995,5.084068018554101e-09,4.099999999999911,-0.0,31306.153615076437,16581.210896580873,5.0840680206942015e-09,4.099999999999892,-0.0,31306.153615069117,16581.210896585882,5.084068025452194e-09,4.100000000000091,-0.0,31306.153615077063,16581.21089657973,5.084068031246835e-09,4.100000000000107,-0.0
2,CV-charge,17,30131.546458739755,1236.3636363636365,8.2,7.277113811547581,7.277113811554423,31194.102120903524,16703.502044687524,5.084489019661265e-09,4.09999999999991,-0.0,31194.102120909498,16703.502044683555,5.084489021801245e-09,4.099999999999897,-0.0,31194.102120902226,16703.502044688346,5.084489026559293e-09,4.1000000000000885,-0.0,31194.102120910273,16703.50204468235,5.084489032345751e-09,4.100000000000103,-0.0
2,CV-charge,18,30204.273731467027,1309.0909090909092,8.2,7.054830742713997,7.054830742720888,31085.480666388412,16822.040003711038,5.084902205680385e-09,4.09999999999991,-0.0,31085.480666394138,16822.040003707116,5.084902207820463e-09,4.099999999999903,-0.0,31085.480666386928,16822.040003711787,5.084902212578375e-09,4.100000000000089,-0.0,31085.480666395022,16822.04000370599,5.0849022183831444e-09,4.1000000000000965,-0.0
2,CV-charge,19,30277.001004194302,1381.818181818182,8.2,6.842342915199371,6.842342915205989,30980.137646116404,16936.991194222246,5.085307907364683e-09,4.099999999999912,-0.0,30980.137646122046,16936.991194218423,5.085307909505044e-09,4.099999999999904,-0.0,30980.137646114927,16936.991194222814,5.085307914262477e-09,4.100000000000088,-0.0,30980.13764612272,16936.99119421734,5.0853079200677675e-09,4.100000000000096,-0.0
2,CV-charge,20,30349.728276921574,1454.5454545454547,8.2,6.639053309244675,6.639053309251119,30877.930908885242,17048.511633393824,5.0857064351746535e-09,4.099999999999915,-0.0,30877.9309088907,17048.51163338999,5.085706437315379e-09,4.099999999999906,-0.0,30877.930908883754,17048.511633394395,5.085706442072405e-09,4.100000000000084,-0.0,30877.930908891503,17048.51163338903,5.085706447893101e-09,4.100000000000092,-0.0
2,CV-charge,21,30422.455549648846,1527.2727272727275,8.2,6.444409526329902,6.444409526336241,30778.727023559888,17156.747744096887,5.086098080896314e-09,4.099999999999915,-0.0,30778.727023565174,17156.74774409332,5.086098083037279e-09,4.099999999999912,-0.0,30778.727023558342,17156.74774409745,5.086098087794106e-09,4.100000000000084,-0.0,30778.727023565934,17156.747744092256,5.086098093597737e-09,4.100000000000088,-0.0
2,CV-charge,22,30495.18282237612,1600.0000000000002,8.199999999999998,6.257898957052339,6.257898957058718,30682.400066491417,17261.837688185344,5.08648312029681e-09,4.099999999999916,-0.0,30682.40006649677,17261.83768818189,5.0864831224381015e-09,4.099999999999913,-0.0,30682.40006648992,17261.83768818596,5.08648312719467e-09,4.100000000000081,-0.0,30682.400066497496,17261.837688180738,5.086483132980685e-09,4.100000000000086,-0.0
2,CV-charge,23,30567.91009510339,1672.727272727273,8.2,6.079046496336018,6.079046496341971,30588.83158428157,17363.911408794487,5.08686181319834e-09,4.099999999999921,-0.0,30588.8315842865,17363.91140879128,5.0868618153398594e-09,4.09999999999992,-0.0,30588.831584280215,17363.911408795255,5.086861820096194e-09,4.100000000000078,-0.0,30588.83158428756,17363.91140878991,5.086861825880907e-09,4.100000000000079,-0.0
