Cycle,Protocol,Stamps,Time (s),Global Time (s),Pack Voltage,Pack Current,String 1 Iapp,"Cell 1,1 Cathode Concentration","Cell 1,1 Anode Concentration","Cell 1,1 Anode SEI Length","Cell 1,1 Voltage"
36,CV-charge,40,2909.0909090909095,343947.2742040039,3.9999999999999996,6.857021672663923,6.857021672663923,35616.765954036884,11607.424523302758,6.080266453034934e-09,3.9999999999999996
36,CV-charge,41,2981.818181818182,344020.0014767312,3.9999999999999996,6.721675808492403,6.721675808492403,35513.45453212218,11719.952648555702,6.080575414793887e-09,3.9999999999999996
36,CV-charge,42,3054.545454545455,344092.7287494585,4.0,6.589645779890148,6.589645779890148,35412.17397385766,11830.266812982487,6.0808801030719675e-09,4.0
36,CV-charge,43,3127.2727272727275,344165.45602218574,3.9999999999999996,6.46083056721314,6.46083056721314,35312.87473454069,11938.421084684393,6.081180637083862e-09,3.9999999999999996
36,CV-charge,44,3200.0000000000005,344238.18329491303,4.0,6.335133638171317,6.335133638171317,35215.50882914593,12044.46782684225,6.081477132325215e-09,4.0
36,CV-charge,45,3272.727272727273,344310.9105676403,4.000000000000001,6.21246214982582,6.21246214982582,35120.02967394926,12148.457870523496,6.081769700852672e-09,4.000000000000001
36,CV-charge,46,3345.454545454546,344383.63784036756,4.0,6.092726828799406,6.092726828799406,35026.39206175741,12250.440542398866,6.082058451269079e-09,4.0
36,CV-charge,47,3418.1818181818185,344456.36511309486,4.0,5.975841657656338,5.975841657656338,34934.552111455465,12350.463720328713,6.082343488790647e-09,4.0
36,CV-charge,48,3490.909090909091,344529.09238582215,4.0,5.861723645150325,5.861723645150325,34844.467221126746,12448.573884928583,6.082624915321481e-09,4.0
36,CV-charge,49,3563.636363636364,344601.8196585494,4.0,5.750487409631404,5.750487409631404,34756.250846578776,12544.647519438307,6.0829025130033555e-09,4.0
36,CV-charge,50,3636.3636363636365,344674.5469312767,3.9999999999999996,5.64166140417171,5.64166140417171,34669.55028508503,12639.068926841188,6.083177016383043e-09,3.9999999999999996
36,CV-charge,51,3709.0909090909095,344747.2742040039,4.0,5.535370024881061,5.535370024881061,34584.48425248011,12731.70878388949,6.0834481952707135e-09,4.0
36,CV-charge,52,3781.818181818182,344820.0014767312,4.0,5.431540763272755,5.431540763272755,34501.01489241543,12822.608426862984,6.0837161391616036e-09,4.0
36,CV-charge,53,3854.545454545455,344892.7287494585,4.0,5.330103503368492,5.330103503368492,34419.10550387263,12911.807892275207,6.083980934386702e-09,4.0
36,CV-charge,54,3927.2727272727275,344965.45602218574,4.0,5.230990140717456,5.230990140717456,34338.720278377725,12999.34624422506,6.084242664855975e-09,4.0
36,CV-charge,55,4000.0000000000005,345038.18329491303,4.0,5.13413473929707,5.13413473929707,34259.82446003857,13085.261397801705,6.0845014116882195e-09,4.0
36,CV-charge,56,4072.727272727273,345110.9105676403,4.0,5.039473411302913,5.039473411302913,34182.38427826003,13169.590192763588,6.084757253384071e-09,4.0
36,CV-charge,57,4145.454545454546,345183.63784036756,3.9999999999999996,4.946944246213575,4.946944246213575,34106.36691577455,13252.368428415108,6.085010265916533e-09,3.9999999999999996
36,CV-charge,58,4218.181818181819,345256.36511309486,4.0,4.856487246976434,4.856487246976434,34031.74047917824,13333.63089577394,6.085260522816551e-09,4.0
36,CV-charge,59,4290.909090909091,345329.09238582215,3.9999999999999996,4.768044270426558,4.768044270426558,33958.47397038581,13413.411408726815,6.085508095256814e-09,3.9999999999999996
36,CV-charge,60,4363.636363636364,345401.8196585494,3.999999999999999,4.681558971138873,4.681558971138873,33886.53725895292,13491.742834233857,6.085753052133603e-09,3.999999999999999
36,CV-charge,61,4436.363636363637,345474.5469312767,4.0,4.59697674808672,4.59697674808672,33815.90105522276,13568.65712162986,6.0859954601465374e-09,4.0
36,CV-charge,62,4509.09090909091,345547.2742040039,4.0,4.514244693606756,4.514244693606756,33746.536884258465,13644.185331065662,6.086235383876146e-09,4.0
36,CV-charge,63,4581.818181818182,345620.0014767312,4.0,4.433311544284594,4.433311544284594,33678.41706053268,13718.357661121761,6.086472885859154e-09,4.0
